modelo,hidden_dim,num_epochs,lr,weight_decay,decoder,train_loss,val_loss,test_loss,val_opt_gap,test_opt_gap,model_path
1,128,32,0.001,0.0001,edge_emb,0.37999722361564636,0.38979285955429077,0.5229116678237915,0.08111239969730377,0.06523674726486206,trained_models\model_1_hd128_lr0.001_ep32_dec_edge_emb.pt
2,128,32,0.001,0.0001,edge_nodes_emb,0.3246823847293854,0.4412497878074646,0.39135193824768066,0.06340572237968445,0.05441218987107277,trained_models\model_2_hd128_lr0.001_ep32_dec_edge_nodes_emb.pt
3,128,32,0.001,5e-05,edge_emb,0.5486822724342346,0.5472148060798645,0.6297337412834167,0.07282285392284393,0.060059793293476105,trained_models\model_3_hd128_lr0.001_ep32_dec_edge_emb.pt
4,128,32,0.001,5e-05,edge_nodes_emb,0.39019882678985596,0.3954039216041565,0.30091696977615356,0.08416344970464706,0.07419823110103607,trained_models\model_4_hd128_lr0.001_ep32_dec_edge_nodes_emb.pt
5,128,32,0.0005,0.0001,edge_emb,0.38412612676620483,0.48013684153556824,0.4611362814903259,0.08362682908773422,0.0720914825797081,trained_models\model_5_hd128_lr0.0005_ep32_dec_edge_emb.pt
6,128,32,0.0005,0.0001,edge_nodes_emb,0.35262417793273926,0.4068582355976105,0.37339794635772705,0.07182343304157257,0.05640731379389763,trained_models\model_6_hd128_lr0.0005_ep32_dec_edge_nodes_emb.pt
7,128,32,0.0005,5e-05,edge_emb,0.5527403950691223,0.7343658208847046,0.501839816570282,0.07130275666713715,0.0599362850189209,trained_models\model_7_hd128_lr0.0005_ep32_dec_edge_emb.pt
8,128,32,0.0005,5e-05,edge_nodes_emb,0.37911415100097656,0.44343680143356323,0.3900876045227051,0.07046060264110565,0.05679157376289368,trained_models\model_8_hd128_lr0.0005_ep32_dec_edge_nodes_emb.pt
9,128,64,0.001,0.0001,edge_emb,0.3378049433231354,0.895249605178833,0.37023046612739563,0.07212401926517487,0.0584619976580143,trained_models\model_9_hd128_lr0.001_ep64_dec_edge_emb.pt
10,128,64,0.001,0.0001,edge_nodes_emb,0.35882890224456787,0.4521406888961792,0.6289599537849426,0.07586343586444855,0.05864284560084343,trained_models\model_10_hd128_lr0.001_ep64_dec_edge_nodes_emb.pt
11,128,64,0.001,5e-05,edge_emb,0.38958683609962463,0.537815272808075,0.5513373017311096,0.060005027800798416,0.05817772075533867,trained_models\model_11_hd128_lr0.001_ep64_dec_edge_emb.pt
12,128,64,0.001,5e-05,edge_nodes_emb,0.3783908486366272,0.3789466321468353,0.39103567600250244,0.07843245565891266,0.057743147015571594,trained_models\model_12_hd128_lr0.001_ep64_dec_edge_nodes_emb.pt
13,128,64,0.0005,0.0001,edge_emb,0.4103022813796997,0.3755544126033783,0.4650467038154602,0.07415740936994553,0.06189350038766861,trained_models\model_13_hd128_lr0.0005_ep64_dec_edge_emb.pt
14,128,64,0.0005,0.0001,edge_nodes_emb,0.35254690051078796,0.530762791633606,0.47479405999183655,0.07443244755268097,0.06509142369031906,trained_models\model_14_hd128_lr0.0005_ep64_dec_edge_nodes_emb.pt
15,128,64,0.0005,5e-05,edge_emb,0.3794570565223694,0.40881773829460144,0.40404918789863586,0.07897436618804932,0.06801260262727737,trained_models\model_15_hd128_lr0.0005_ep64_dec_edge_emb.pt
16,128,64,0.0005,5e-05,edge_nodes_emb,0.35816505551338196,0.9027171730995178,0.38222599029541016,0.07242216914892197,0.05796732380986214,trained_models\model_16_hd128_lr0.0005_ep64_dec_edge_nodes_emb.pt
